gold_diff,win_probability,checkpoint
-2486.9331803005007,0.12735905908591794,10 min
-2472.08581803005,0.12864172838563814,10 min
-2457.238455759599,0.1299353893845047,10 min
-2442.3910934891483,0.13124009744086979,10 min
-2427.5437312186978,0.13255590739151296,10 min
-2412.6963689482473,0.1338828735321077,10 min
-2397.8490066777963,0.1352210495974645,10 min
-2383.001644407346,0.13657048874155325,10 min
-2368.154282136895,0.1379312435173089,10 min
-2353.306919866444,0.1393033658562232,10 min
-2338.4595575959934,0.140686907047727,10 min
-2323.6121953255424,0.14208191771836687,10 min
-2308.764833055092,0.14348844781077957,10 min
-2293.917470784641,0.14490654656247046,10 min
-2279.0701085141905,0.1463362624843984,10 min
-2264.2227462437395,0.14777764333937404,10 min
-2249.375383973289,0.14923073612027488,10 min
-2234.528021702838,0.1506955870280841,10 min
-2219.6806594323875,0.15217224144975722,10 min
-2204.8332971619366,0.15366074393592388,10 min
-2189.9859348914856,0.1551611381784292,10 min
-2175.138572621035,0.1566734669877226,10 min
-2160.291210350584,0.15819777227010023,10 min
-2145.4438480801336,0.15973409500480656,10 min
-2130.5964858096827,0.16128247522100425,10 min
-2115.749123539232,0.16284295197461815,10 min
-2100.9017612687812,0.1644155633250615,10 min
-2086.0543989983307,0.16600034631185207,10 min
-2071.2070367278798,0.16759733693112683,10 min
-2056.3596744574293,0.16920657011206208,10 min
-2041.5123121869783,0.17082807969321004,10 min
-2026.6649499165273,0.17246189839875792,10 min
-2011.8175876460768,0.17410805781472072,10 min
-1996.970225375626,0.17576658836507658,10 min
-1982.1228631051754,0.17743751928785378,10 min
-1967.2755008347244,0.17912087861117965,10 min
-1952.428138564274,0.1808166931293016,10 min
-1937.580776293823,0.18252498837859105,10 min
-1922.7334140233725,0.18424578861353952,10 min
-1907.8860517529215,0.1859791167827598,10 min
-1893.038689482471,0.18772499450500124,10 min
-1878.19132721202,0.18948344204519263,10 min
-1863.3439649415695,0.19125447829052242,10 min
-1848.4966026711186,0.19303812072656962,10 min
-1833.6492404006676,0.19483438541349643,10 min
-1818.8018781302171,0.1966432869623158,10 min
-1803.9545158597662,0.19846483851124613,10 min
-1789.1071535893157,0.2002990517021656,10 min
-1774.2597913188647,0.20214593665717998,10 min
-1759.4124290484142,0.20400550195531603,10 min
-1744.5650667779632,0.2058777546093554,10 min
-1729.7177045075127,0.2077627000428211,10 min
-1714.8703422370618,0.20966034206713183,10 min
-1700.0229799666113,0.2115706828589371,10 min
-1685.1756176961603,0.21349372293764832,10 min
-1670.3282554257094,0.21542946114317935,10 min
-1655.4808931552589,0.21737789461391166,10 min
-1640.633530884808,0.21933901876489934,10 min
-1625.7861686143574,0.22131282726632745,10 min
-1610.9388063439064,0.22329931202224007,10 min
-1596.091444073456,0.2252984631495523,10 min
-1581.244081803005,0.22731026895736284,10 min
-1566.3967195325545,0.2293347159265805,10 min
-1551.5493572621035,0.23137178868988262,10 min
-1536.701994991653,0.23342147001201832,10 min
-1521.854632721202,0.23548374077047543,10 min
-1507.007270450751,0.23755857993652363,10 min
-1492.1599081803006,0.2396459645566522,10 min
-1477.3125459098496,0.24174586973441714,10 min
-1462.4651836393991,0.2438582686127131,10 min
-1447.6178213689482,0.24598313235648764,10 min
-1432.7704590984977,0.24812043013591206,10 min
-1417.9230968280467,0.25027012911002633,10 min
-1403.0757345575962,0.25243219441087217,10 min
-1388.2283722871452,0.2546065891281328,10 min
-1373.3810100166947,0.2567932742942921,10 min
-1358.5336477462438,0.25899220887033236,10 min
-1343.6862854757933,0.2612033497319831,10 min
-1328.8389232053423,0.2634266516565392,10 min
-1313.9915609348914,0.2656620673102622,10 min
-1299.1441986644409,0.2679095472363811,10 min
-1284.29683639399,0.2701690398437079,10 min
-1269.4494741235394,0.272440491395882,10 min
-1254.6021118530884,0.2747238460012602,10 min
-1239.754749582638,0.2770190456034653,10 min
-1224.907387312187,0.279326029972609,10 min
-1210.0600250417365,0.281644736697203,10 min
-1195.2126627712855,0.2839751011767729,10 min
-1180.365300500835,0.28631705661518736,10 min
-1165.517938230384,0.288670534014719,10 min
-1150.670575959933,0.2910354621708464,10 min
-1135.8232136894826,0.29341176766781407,10 min
-1120.9758514190316,0.2957993748749604,10 min
-1106.1284891485811,0.29819820594382723,10 min
-1091.2811268781302,0.3006081808060628,10 min
-1076.4337646076797,0.30302921717212894,10 min
-1061.5864023372287,0.3054612305308261,10 min
-1046.7390400667782,0.3079041341496426,10 min
-1031.8916777963273,0.31035783907594483,10 min
-1017.0443155258768,0.31282225413901155,10 min
-1002.1969532554258,0.31529728595292716,10 min
-987.3495909849748,0.3177828389203407,10 min
-972.5022287145243,0.3202788152370982,10 min
-957.6548664440734,0.3227851148977597,10 min
-942.8075041736229,0.3253016357020043,10 min
-927.9601419031719,0.32782827326193453,10 min
-913.1127796327214,0.3303649210102822,10 min
-898.2654173622705,0.3329114702095264,10 min
-883.41805509182,0.33546780996192405,10 min
-868.570692821369,0.3380338272204623,10 min
-853.7233305509185,0.3406094068007332,10 min
-838.8759682804675,0.3431944313937369,10 min
-824.028606010017,0.34578878157961496,10 min
-809.1812437395661,0.34839233584231655,10 min
-794.3338814691151,0.3510049705851985,10 min
-779.4865191986646,0.35362656014756133,10 min
-764.6391569282137,0.3562569768221212,10 min
-749.7917946577631,0.3588960908734165,10 min
-734.9444323873122,0.3615437705571496,10 min
-720.0970701168617,0.3641998821404605,10 min
-705.2497078464107,0.36686428992313236,10 min
-690.4023455759602,0.36953685625972177,10 min
-675.5549833055093,0.3722174415826156,10 min
-660.7076210350588,0.3749059044260035,10 min
-645.8602587646078,0.3776021014507672,10 min
-631.0128964941568,0.3803058874702754,10 min
-616.1655342237063,0.38301711547707995,10 min
