league,teamname,condition,n,wins,expected_wins,win_rate,adjusted_pp,low,high,source_games,eligible_games,coverage_pct
LCK,Hanwha Life Esports,Ahead,53,44,42.47827178526548,0.8301886792452831,1.8334074876319575,-3.842176931538109,6.9854454498964405,99,99,100.0
LCK,Hanwha Life Esports,Behind,32,10,9.304173391877779,0.3125,1.1223009808422917,-6.257167425342739,9.255733099492417,99,99,100.0
LCK,KT Rolster,Ahead,41,32,30.810270027098696,0.7804878048780488,1.6756760181708534,-6.190080274116563,9.118781736676233,102,102,100.0
LCK,KT Rolster,Behind,44,12,8.59194785738549,0.2727272727272727,4.605475868397986,-3.2673907907098587,13.318872870875438,102,102,100.0
LCK,Kiwoom DRX,Ahead,24,16,18.98333341089003,0.6666666666666666,-5.5246915016482,-12.792203746314195,1.8053651430699267,96,96,100.0
LCK,Kiwoom DRX,Behind,39,6,7.828251875609044,0.15384615384615385,-2.649640399433394,-7.880585596214717,3.8839606819740418,96,96,100.0
LCK,Nongshim RedForce,Ahead,34,21,23.000852398851546,0.6176470588235294,-3.1263318732055394,-10.92795686094477,4.118348030618692,86,86,100.0
LCK,Nongshim RedForce,Behind,31,5,6.230865350832478,0.16129032258064516,-2.017812050545045,-7.302957862538715,4.234100833297619,86,86,100.0
LCK,T1,Ahead,44,35,33.855687372381674,0.7954545454545454,1.5463684157004445,-4.65865630285728,7.351414990846451,109,109,100.0
LCK,T1,Behind,42,16,10.723852366436496,0.38095238095238093,7.327982824393754,-1.142818772883049,16.522721151736267,109,109,100.0
LCP,CTBC Flying Oyster,Ahead,27,23,20.54262947192077,0.8518518518518519,4.311176365051282,-2.8783345052441516,10.583659278066653,79,79,100.0
LCP,CTBC Flying Oyster,Behind,31,5,5.49379050125038,0.16129032258064516,-0.8094926250006224,-5.506495617753956,4.620465832823805,79,79,100.0
LCP,Deep Cross Gaming,Ahead,27,20,20.645617881451074,0.7407407407407407,-1.1326629499141705,-8.270182945294193,5.888546632411329,91,91,100.0
LCP,Deep Cross Gaming,Behind,28,7,7.240934892009595,0.25,-0.4154049862234408,-6.8550915191067565,6.243292382815626,91,91,100.0
LCP,DetonatioN FocusMe,Ahead,10,4,5.304903108680813,0.4,-3.2622577717020347,-9.828169556202395,3.1809519454162745,46,46,100.0
LCP,DetonatioN FocusMe,Behind,21,2,2.467012808333001,0.09523809523809523,-0.9157113888882379,-4.95316389326285,3.9223641155089535,46,46,100.0
LCP,Fukuoka SoftBank HAWKS gaming,Ahead,8,6,6.285227548656385,0.75,-0.7505988122536436,-5.865943580311224,4.399875245581891,60,60,100.0
LCP,Fukuoka SoftBank HAWKS gaming,Behind,20,5,6.177562667597149,0.25,-2.3551253351942965,-8.079177229424914,4.673771214244572,60,60,100.0
LCP,GAM Esports,Ahead,32,25,24.77428543817655,0.78125,0.36405574487653575,-5.859511999523713,6.302282132639176,73,73,100.0
LCP,GAM Esports,Behind,21,5,5.7508627906912935,0.23809523809523808,-1.4722799817476369,-9.520297711509457,7.1473314132855155,73,73,100.0
LCP,Ground Zero Gaming,Ahead,9,6,7.310971359302418,0.6666666666666666,-3.361465023852355,-9.618568410839481,2.6852895383937567,63,63,100.0
LCP,Ground Zero Gaming,Behind,21,5,4.713744853515861,0.23809523809523808,0.5612846009492917,-5.577832596705984,8.008145147064464,63,63,100.0
LCP,MVK Esports,Ahead,29,21,19.905980219282252,0.7241379310344828,1.8542708147758469,-6.108957179585878,8.777511511866628,75,75,100.0
LCP,MVK Esports,Behind,27,6,6.102360387036574,0.2222222222222222,-0.17957962637995403,-6.486219744135563,6.171528081607024,75,75,100.0
LCP,Team Secret Whales,Ahead,39,35,34.169882009206965,0.8974358974358975,1.2030695518739578,-4.341802947616299,6.559281403295087,79,79,100.0
LCP,Team Secret Whales,Behind,12,6,4.114234062888917,0.5,4.489918897883532,-4.253321580644763,12.845671862792187,79,79,100.0
LCS,Cloud9,Ahead,27,21,21.262620288174144,0.7777777777777778,-0.46073734767393715,-6.281086603486119,5.135585120371407,63,63,100.0
LCS,Cloud9,Behind,19,6,5.950005138948454,0.3157894736842105,0.10203032867662436,-6.44274783529611,7.5026214203695405,63,63,100.0
LCS,Dignitas,Ahead,5,2,3.0053093177101466,0.4,-2.8723123363147045,-8.1887398157839,2.4441151431544923,41,41,100.0
LCS,Dignitas,Behind,29,4,5.584465952739677,0.13793103448275862,-2.6855355131180993,-8.492526284032305,3.5242661316202586,41,41,100.0
LCS,Disguised,Ahead,11,7,7.124677586445757,0.6363636363636364,-0.3040916742579444,-9.924503670834296,8.283593490174459,47,47,100.0
